あ|あ|Ah|အာ|interjection
泣く|なく|to weep|ငိုသည်|verb
無くなる|なくなる|to disappear,to get lost|ပျောက်ဆုံးသည်|verb
亡くなる|なくなる|to die|သေသည်|verb
投げる|なげる|to throw or cast away|ပစ်သည်သို့မဟုတ်ပစ်ချသည်|verb
なさる|なさる|(respectful) to do|(လေးစား)လုပ်သည်|verb
鳴る|なる|to sound|မြည်သည်|verb
なるべく|なるべく|as much as possible|တတ်နိုင်သမျှ|adverb
なるほど|なるほど|now I understand|ယခုနားလည်ပါပြီ|adverb
慣れる|なれる|to grow accustomed to|အလေ့အကျင့်ရသည်|verb
におい|におい|a smell|အနံ့|noun
苦い|にがい|bitter|ခါး|adjective
二階建て|にかいだて|two storied|နှစ်ထပ်|noun
逃げる|にげる|to escape|လွတ်မြောက်သည်|verb
日記|にっき|journal|နေ့စဉ်မှတ်တမ်း|noun
入院|にゅういん・する|to hospitalise|ဆေးရုံတက်သည်|verb
入学|にゅうがく・する|to enter school or university|ကျောင်းသို့မဟုတ်တက္ကသိုလ်ဝင်သည်|verb
似る|にる|to be similar|ဆင်တူသည်|verb
人形|にんぎょう|doll, figure|အရုပ်၊ပုံ|noun
盗む|ぬすむ|to steal|ခိုးသည်|verb
塗る|ぬる|to paint,to plaster|ဆေးခြယ်သည်၊ပလာစတာလိမ်းသည်|verb
ぬれる|ぬれる|to get wet|စိုသည်|verb
ねだん|ねだん|price|ဈေး|noun
熱|ねつ|fever|အဖျားရောဂါ|noun
ねっしん|ねっしん|enthusiasm|စိတ်အားထက်သန်မှု|noun
寝坊|ねぼう|sleeping in late|နောက်ကျအိပ်သည်|noun
眠い|ねむい|sleepy|အိပ်ချင်သော|adjective
眠る|ねむる|to sleep|အိပ်သည်|verb
残る|のこる|to remain|ကျန်သည်|verb
のど|のど|throat|လည်ချောင်း|noun
乗り換える|のりかえる|to change between buses or trains|ဘတ်စ်ကားသို့မဟုတ်ရထားများကြားပြောင်းသည်|verb
乗り物|のりもの|vehicle|ယာဉ်|noun
葉|は|leaf|ရွက်|noun
場合|ばあい|situation|အခြေအနေ|noun
パート|パート|part time|အချိန်ပိုင်း|noun
倍|ばい|double|နှစ်ဆ|noun
拝見|はいけん・する|(humble) to look at|(ရိုသေ)ကြည့်သည်|verb
歯医者|はいしゃ|dentist|သွားဆရာ|noun
運ぶ|はこぶ|to transport|သယ်သည်|verb
始める|はじめる|to begin|စသည်|verb
場所|ばしょ|location|နေရာ|noun
はず|はず|it should be so|ဖြစ်နိုင်သည်|noun
恥ずかしい|はずかしい|embarrassed|ရှက်ကြောက်သော|adjective
パソコン|パソコン|personal computer|ကိုယ်ပိုင်ကွန်ပျူတာ|noun
発音|はつおん|pronunciation|အသံထုတ်မှု|noun
はっきり|はっきり|clearly|ရှင်းလင်းစွာ|adverb
花見|はなみ|cherry-blossom viewing|ချယ်ရီပွင့်လင်းကြည့်သည်|noun
林|はやし|woods,forester|သစ်တော၊သစ်တောပိုင်ရှင်|noun
払う|はらう|to pay|ပေးချေသည်|verb
番組|ばんぐみ|television or radio program|ရုပ်မြင်သံကြားသို့မဟုတ်ရေဒီယိုပရိုဂရမ်|noun
反対|はんたい|opposition|ဆန့်ကျင်မှု|noun
ハンドバッグ|ハンドバッグ|handbag|လက်ကိုင်အိတ်|noun
日|ひ|day, sun|နေ့၊နေ|noun
火|ひ|fire|မီး|noun
ピアノ|ピアノ|piano|ပီယာနို|noun
冷える|ひえる|to grow cold|အေးသည်|verb
光|ひかり|light|အလင်း|noun
光る|ひかる|to shine,to glitter|တောက်ပသည်၊လက်ခန်းသည်|verb
引き出し|ひきだし|drawer,drawing out|အံဆွဲ၊ဆွဲထုတ်ခြင်း|noun
引き出す|ひきだす|to withdraw|ဆွဲထုတ်သည်|verb
ひげ|ひげ|beard|မုတ်ဆိတ်|noun
飛行場|ひこうじょう|airport|လေဆိပ်|noun
久しぶり|ひさしぶり|after a long time|နှစ်ပေါင်းများစွာနောက်|adverb
美術館|びじゅつかん|art gallery|အနုပညာပြတိုက်|noun
非常に|ひじょうに|extremely|အလွန်|adverb
びっくり・する|びっくり・する|to be surprised|အံ့အားသင့်သည်|verb
引っ越す|ひっこす|to move house|အိမ်ရွှေ့သည်|verb
必要|ひつよう|necessary|လိုအပ်သော|adjective
ひどい|ひどい|awful|ကြောက်မက်ဖွယ်|adjective
ビル|ビル|building or bill|အဆောက်အဦသို့မဟုတ်ဘီလ်|noun
昼間|ひるま|daytime,during the day|နေ့အချိန်၊နေ့တွင်|noun
昼休み|ひるやすみ|noon break|နေ့လယ်ပိုင်းအနားယူ|noun
拾う|ひろう|to pick up,to gather|ကောက်သည်၊စုသည်|verb
ファックス|ファックス|fax|ဖက်စ်|noun
増える|ふえる|to increase|တိုးသည်|verb
深い|ふかい|deep|နက်ရှိုင်းသော|adjective
複雑|ふくざつ|complexity,complication|ရှုပ်ထွေးမှု၊ရှုပ်ထွေးမှု|noun
復習|ふくしゅう|revision|ပြန်လည်လေ့ကျင့်|noun
部長|ぶちょう|head of a section|ဌာနအကြီး|noun
普通|ふつう|usually, or a train that stops at every station|များသောအားဖြင့်၊သို့မဟုတ်ဘူတာတိုင်းရပ်တန့်ရထား|adverb
ぶどう|ぶどう|grapes|စပျစ်သီး|noun
太る|ふとる|to become fat|ဝသည်|verb
布団|ふとん|Japanese bedding, futon|ဂျပန်အိပ်ရာ၊ဖူတန်|noun
舟|ふね|ship|သင်္ဘော|noun
不便|ふべん|inconvenience|အဆင်မပြေမှု|noun
踏む|ふむ|to step on|နင်းသည်|verb
降り出す|ふりだす|to start to rain|မိုးရွာစသည်|verb
プレゼント|プレゼント|present|လက်ဆောင်|noun
文化|ぶんか|culture|ယဉ်ကျေးမှု|noun
文学|ぶんがく|literature|စာပေ|noun
文法|ぶんぽう|grammar|သဒ္ဒါ|noun
別|べつ|different|ကွဲပြားသော|adjective
ベル|ベル|bell|ခေါင်းလောင်း|noun
変|へん|strange|ထူးဆန်းသော|adjective
返事|へんじ|reply|ပြန်စာ|noun
貿易|ぼうえき|trade|ကုန်သွယ်မှု|noun
放送|ほうそう・する|to broadcast|ထုတ်လွှင့်သည်|verb
法律|ほうりつ|law|ဥပဒေ|noun
僕|ぼく|I (used by males)|ကျွန်တော်(ယောက်ျားများသုံး)|noun
星|ほし|star|ကြယ်|noun
ほど|ほど|extent|အတိုင်းအတာ|noun
ほとんど|ほとんど|mostly|အများဆုံး|adverb
ほめる|ほめる|to praise|ချီးကျူးသည်|verb
翻訳|ほんやく|translation|ဘာသာပြန်ခြင်း|noun
参る|まいる|(humble) to go,to come|(ရိုသေ)သွားသည်၊လာသည်|verb
負ける|まける|to lose|ရှုံးသည်|verb
まじめ|まじめ|serious|လေးလံသော|adjective
まず|まず|first of all|ပထမအနေနှင့်|adverb
または|または|or,otherwise|သို့မဟုတ်၊မဟုတ်ရင်|adverb
間違える|まちがえる|to make a mistake|အမှားလုပ်သည်|verb
間に合う|まにあう|to be in time for|အချိန်မှီသည်|verb
周り|まわり|surroundings|ပတ်ဝန်းကျင်|noun
回る|まわる|to go around|ပတ်သည်|verb
漫画|まんが|comic|ကာတွန်း|noun
真中|まんなか|middle|အလယ်|noun
見える|みえる|to be in sight|မြင်သည်|verb
湖|みずうみ|lake|ကန်|noun
味噌|みそ|bean paste|ပဲငံပြာရည်|noun
見つかる|みつかる|to be discovered|ရှာတွေ့ခံရသည်|verb
見つける|みつける|to discover|ရှာတွေ့သည်|verb
皆|みな|everybody|လူတိုင်း|noun
港|みなと|harbour|ဆိပ်ကမ်း|noun
向かう|むかう|to face|မျက်နှာမူသည်|verb
迎える|むかえる|to go out to meet|တွေ့ဆုံရန်ထွက်သည်|verb
昔|むかし|olden days, former|ရှေးခေတ်၊ယခင်|noun
虫|むし|insect|ကောင်|noun
息子|むすこ|(humble) son|(ရိုသေ)သား|noun
娘|むすめ|(humble) daughter|(ရိုသေ)သမီး|noun
無理|むり|impossible|မဖြစ်နိုင်|adjective
召し上がる|めしあがる|(polite) to eat|(ယဉ်ကျေး)စားသည်|verb
珍しい|めずらしい|rare|ရှားပါးသော|adjective
申し上げる|もうしあげる|(humble) to say,to tell|(ရိုသေ)ပြောသည်၊ပြောသည်|verb
申す|もうす|(humble) to be called,to say|(ရိုသေ)ခေါ်ခံရသည်၊ပြောသည်|verb
もうすぐ|もうすぐ|soon|မကြာ|adverb
もし|もし|if|ဆိုပါက|adverb
もちろん|もちろん|of course|ဟုတ်ပါတယ်|adverb
もっとも|もっとも|extremely|အလွန်|adverb
戻る|もどる|to turn back|နောက်ပြန်လှည့်သည်|verb
木綿|もめん|cotton|ချည်|noun
もらう|もらう|to receive|ရသည်|verb
森|もり|forest|သစ်တော|noun
焼く|やく|to bake,to grill|ဖုတ်သည်၊ကင်သည်|verb
約束|やくそく|promise|ကတိ|noun
役に立つ|やくにたつ|to be helpful|ကူညီသည်|verb
焼ける|やける|to burn,to be roasted|လောင်သည်၊ကင်ခံရသည်|verb
優しい|やさしい|kind|ကြင်နာသော|adjective
痩せる|やせる|to become thin|ပိန်သည်|verb
やっと|やっと|at last|နောက်ဆုံးမှာ|adverb
やはり/やっぱり|やはり/やっぱり|as I thought,absolutely|ငါတွေးသလို၊အမှန်ပဲ|adverb
止む|やむ|to stop|ရပ်သည်|verb
止める|やめる|to stop|ရပ်သည်|verb
柔らかい|やわらかい|soft|နူးသော|adjective
湯|ゆ|hot water|ရေပူ|noun
輸出|ゆしゅつ・する|to export|တင်ပို့သည်|verb
輸入|ゆにゅう・する|to import|တင်သွင်းသည်|verb
指|ゆび|finger|လက်ချောင်း|noun
指輪|ゆびわ|finger ring|လက်စွပ်|noun
夢|ゆめ|dream|အိပ်မက်|noun
揺れる|ゆれる|to shake,to sway|လှုပ်သည်၊လွှဲသည်|verb
用|よう|use|အသုံး|noun
用意|ようい|preparation|ပြင်ဆင်မှု|noun
用事|ようじ|things to do|လုပ်ရန်အရာများ|noun
汚れる|よごれる|to get dirty|ညစ်ပတ်သည်|verb
予習|よしゅう|preparation for a lesson|သင်ခန်းစာအတွက်ပြင်ဆင်မှု|noun
予定|よてい|arrangement|အစီအစဉ်|noun
予約|よやく|reservation|ကြိုတင်မှာထားမှု|noun
寄る|よる|to visit|လည်ပတ်သည်|verb
喜ぶ|よろこぶ|to be delighted|ပျော်သည်|verb
よろしい|よろしい|(respectful) OK,all right|(လေးစား)အိုကေ၊အားလုံးမှန်ပါတယ်|adjective
理由|りゆう|reason|အကြောင်းရင်း|noun
利用|りよう|utilization|အသုံးပြုမှု|noun
両方|りょうほう|both sides|နှစ်ဖက်လုံး|noun
旅館|りょかん|Japanese hotel|ဂျပန်ဟိုတယ်|noun
留守|るす|absence|မရှိခြင်း|noun
冷房|れいぼう|air conditioning|လေအေးစနစ်|noun
歴史|れきし|history|သမိုင်း|noun
レジ|レジ|register|မှတ်တမ်း|noun
レポート/リポート|レポート/リポート|report|အစီရင်ခံစာ|noun
連絡|れんらく|contact|ဆက်သွယ်မှု|noun
ワープロ|ワープロ|word processor|စကားလုံးပရိုဆက်ဆာ|noun
沸かす|わかす|to boil,to heat|ပွက်သည်၊အပူပေးသည်|verb
別れる|わかれる|to separate|ခွဲသည်|verb
沸く|わく|to boil, to grow hot,to get excited|ပွက်သည်၊ပူသည်၊စိတ်လှုပ်ရှားသည်|verb
訳|わけ|meaning,reason|အဓိပ္ပာယ်၊အကြောင်းရင်း|noun
忘れ物|わすれもの|lost article|ပျောက်ဆုံးပစ္စည်း|noun
笑う|わらう|to laugh,to smile|ရယ်သည်၊ပြုံးသည်|verb
割合|わりあい|rate,ratio,percentage|နှုန်း၊အချိုး၊ရာခိုင်နှုန်း|noun
割れる|われる|to break|ကျိုးသည်|verb
泳ぎ方|およぎかた|way of swimming|ရေကူးနည်း|noun
